127.0.0.1 - - [03/May/2019:13:31:17 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [03/May/2019:13:31:22 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [03/May/2019:13:31:22 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [03/May/2019:13:33:43 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [03/May/2019:13:36:28 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [03/May/2019:13:36:58 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [03/May/2019:13:37:16 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [03/May/2019:13:41:34 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [03/May/2019:13:41:35 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [03/May/2019:13:41:37 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [03/May/2019:13:41:57 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [03/May/2019:13:43:00 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [03/May/2019:13:43:21 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [03/May/2019:13:44:35 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [03/May/2019:13:45:35 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [03/May/2019:13:46:56 +0800] "GET /JavawebTest/experiment01/main.jsp HTTP/1.1" 200 564
